,p.value,HR,HR.95L,HR.95H,Indicator
riskScore,0.00013753604812151,3.63907969253336,1.87325281553665,7.06946809249283,riskScore
N0(Reference),NA,1,1,1,N0(Reference)
N1,0.658201450033609,1.20757982163508,0.523603221623143,2.78502683978858,N1
N2/3,0.752609264696672,1.17667146298666,0.427868934857185,3.23593422894632,N2/3
stage3 vs.stage1/2,0.289943505952139,1.56738396045754,0.68185710409157,3.60294329230841,stage3 vs.stage1/2
